arc_id;user_id;polarity;subjectivity;lang;TextBlob;lat;long
11038;37394881;-0.8;0.9;;i hate winter. it makes me moody. and i hate couples in winter. fml.;48.23391895;16.36635559
11155;324282534;-0.8;0.9;en;hai hai @abhisekhmaskey: i hate people who steal my ideas, before i think of them.;48.20881441;16.35981578
11668;179257031;-0.8;1.0;de;i am at base 11 studentenheim (wien) ;48.18377998;16.41700593
12301;134395963;-0.8;0.9;en;yes i am that annoying customer in #starbucks i know what i want #thatcustomer #reallyawkward #coffee ;48.208715;16.369641
12570;1575079867;-0.8;0.9;en;my parents hate me;48.22097036;16.38321863
15133;130658474;-0.8;0.9;ja;"
everybody hate me!?? hi, unhappy";48.18389629;16.41701156
15345;859945602;-0.8;0.8;en;"*realize that my life is acutually crap* *jessie j voice* ""i can not believe that this is my life""";48.2319858;16.3933757
15893;14331878;-0.8;1.0;en;i am at wombats city hostel vienna - the base - @wombatshostels (vienna, wien) w/ 2 others [pic]: ;48.19433123;16.33093544
16440;193961276;-0.8;0.8;en;its 1 in the morning why is this keeping me up i just wanted to be horny and then sleep not this crap;48.290508;16.380367
17411;29316633;-0.8;0.9;en;fucking hate italians;48.20119;16.3461
18073;14849427;-0.8;1.0;es;@knskumo nada, se queda con 4gb. los modulos van soldados a la placa base. applestyle;48.2056827;16.39917214
18075;808321656;-0.8;1.0;tr;@erim_kemal hayirli aksamlar hocam... nasildi... avani base?;48.1829131;16.3653099
6850;859945602;-0.7999999999999999;1.0;en;"-) luke brooks
-) daniel sahyounie
-) beau brooks
-) james yammouni
-) jai brooks

sounds stupid, but they are my life savers &lt;3";48.2319349;16.3915851
7692;636429570;-0.7999999999999999;1.0;et;@taylorcaniff stupid.;48.183434;16.292932
11314;21913216;-0.7999999999999999;1.0;en;this train station has 2 mcdonalds, 3 tobacco shops and 1 restaurant. but no supermarket. stupid. i am thirsty.;48.18602295;16.37447509
6850;859945602;-0.7999999999999999;1.0;en;"-) luke brooks
-) daniel sahyounie
-) beau brooks
-) james yammouni
-) jai brooks

sounds stupid, but they are my life savers &lt;3";48.2319349;16.3915851
7692;636429570;-0.7999999999999999;1.0;et;@taylorcaniff stupid.;48.183434;16.292932
11314;21913216;-0.7999999999999999;1.0;en;this train station has 2 mcdonalds, 3 tobacco shops and 1 restaurant. but no supermarket. stupid. i am thirsty.;48.18602295;16.37447509
3794;20898864;-0.78125;1.0;en;"@thfwhu in austrias wc qualifier vs ireland he conceded a penalty with a mistimed tackling - well, ""pogerl"" sometimes tends to mad actions!";48.217;16.29891
3794;20898864;-0.78125;1.0;en;"@thfwhu in austrias wc qualifier vs ireland he conceded a penalty with a mistimed tackling - well, ""pogerl"" sometimes tends to mad actions!";48.217;16.29891
13779;235327186;-0.78;1.0;en;amy winehouse in the rain in vienna city centre and i feel like in some sort of very depressing music video. *mouths the words*;48.20691;16.37461303
13779;235327186;-0.78;1.0;en;amy winehouse in the rain in vienna city centre and i feel like in some sort of very depressing music video. *mouths the words*;48.20691;16.37461303
